  0%|                                                                                                                                                              | 0/10955 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                                                                                                                                                             
{'loss': 0.0778, 'grad_norm': 11.90141487121582, 'learning_rate': 1e-06, 'epoch': 3.15}
{'loss': 0.0813, 'grad_norm': 0.40293222665786743, 'learning_rate': 1e-06, 'epoch': 3.19}
{'loss': 0.0848, 'grad_norm': 8.840991020202637, 'learning_rate': 1e-06, 'epoch': 3.24}
{'loss': 0.0813, 'grad_norm': 10.788214683532715, 'learning_rate': 1e-06, 'epoch': 3.29}
{'loss': 0.0678, 'grad_norm': 8.014676094055176, 'learning_rate': 1e-06, 'epoch': 3.33}
{'loss': 0.0905, 'grad_norm': 6.057780742645264, 'learning_rate': 1e-06, 'epoch': 3.38}
{'loss': 0.0697, 'grad_norm': 7.956570625305176, 'learning_rate': 1e-06, 'epoch': 3.42}
{'loss': 0.0838, 'grad_norm': 3.4778079986572266, 'learning_rate': 1e-06, 'epoch': 3.47}
{'loss': 0.0763, 'grad_norm': 1.2590912580490112, 'learning_rate': 1e-06, 'epoch': 3.51}
{'loss': 0.0706, 'grad_norm': 5.440359115600586, 'learning_rate': 1e-06, 'epoch': 3.56}
{'loss': 0.0598, 'grad_norm': 0.9071109294891357, 'learning_rate': 1e-06, 'epoch': 3.61}
{'loss': 0.0772, 'grad_norm': 5.27681303024292, 'learning_rate': 1e-06, 'epoch': 3.65}
{'loss': 0.0729, 'grad_norm': 1.2800627946853638, 'learning_rate': 1e-06, 'epoch': 3.7}
{'loss': 0.0887, 'grad_norm': 15.792511940002441, 'learning_rate': 1e-06, 'epoch': 3.74}
{'loss': 0.0745, 'grad_norm': 7.801025867462158, 'learning_rate': 1e-06, 'epoch': 3.79}
{'loss': 0.0823, 'grad_norm': 33.575233459472656, 'learning_rate': 1e-06, 'epoch': 3.83}
{'loss': 0.083, 'grad_norm': 7.725802421569824, 'learning_rate': 1e-06, 'epoch': 3.88}
{'loss': 0.0636, 'grad_norm': 2.861078977584839, 'learning_rate': 1e-06, 'epoch': 3.93}
{'loss': 0.0636, 'grad_norm': 2.6438684463500977, 'learning_rate': 1e-06, 'epoch': 3.97}
{'eval_dim_768_cosine_accuracy@1': 0.6389700511322133, 'eval_dim_768_cosine_accuracy@3': 0.7638787436084733, 'eval_dim_768_cosine_accuracy@5': 0.8111760409057707, 'eval_dim_768_cosine_accuracy@10': 0.8668736303871439, 'eval_dim_768_cosine_precision@1': 0.6389700511322133, 'eval_dim_768_cosine_precision@3': 0.2546262478694911, 'eval_dim_768_cosine_precision@5': 0.1622352081811541, 'eval_dim_768_cosine_precision@10': 0.08668736303871438, 'eval_dim_768_cosine_recall@1': 0.6389700511322133, 'eval_dim_768_cosine_recall@3': 0.7638787436084733, 'eval_dim_768_cosine_recall@5': 0.8111760409057707, 'eval_dim_768_cosine_recall@10': 0.8668736303871439, 'eval_dim_768_cosine_ndcg@10': 0.7499117404202056, 'eval_dim_768_cosine_mrr@10': 0.7128021844238077, 'eval_dim_768_cosine_map@100': 0.7177593971290724, 'eval_runtime': 9.1066, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 4.0}
{'loss': 0.0855, 'grad_norm': 9.884385108947754, 'learning_rate': 1e-06, 'epoch': 4.02}
