                                                                                                                                                                                             
{'loss': 0.0056, 'grad_norm': 0.09757331758737564, 'learning_rate': 1e-06, 'epoch': 2.78}
{'loss': 0.0054, 'grad_norm': 0.06768500059843063, 'learning_rate': 1e-06, 'epoch': 2.83}
{'loss': 0.0054, 'grad_norm': 0.11011277884244919, 'learning_rate': 1e-06, 'epoch': 2.88}
{'loss': 0.0062, 'grad_norm': 0.10986541956663132, 'learning_rate': 1e-06, 'epoch': 2.92}
{'loss': 0.0053, 'grad_norm': 0.07638034969568253, 'learning_rate': 1e-06, 'epoch': 2.97}
{'eval_dim_768_cosine_accuracy@1': 0.4674945215485756, 'eval_dim_768_cosine_accuracy@3': 0.6176040905770636, 'eval_dim_768_cosine_accuracy@5': 0.6775018261504748, 'eval_dim_768_cosine_accuracy@10': 0.7532870708546384, 'eval_dim_768_cosine_precision@1': 0.4674945215485756, 'eval_dim_768_cosine_precision@3': 0.2058680301923545, 'eval_dim_768_cosine_precision@5': 0.13550036523009493, 'eval_dim_768_cosine_precision@10': 0.07532870708546384, 'eval_dim_768_cosine_recall@1': 0.4674945215485756, 'eval_dim_768_cosine_recall@3': 0.6176040905770636, 'eval_dim_768_cosine_recall@5': 0.6775018261504748, 'eval_dim_768_cosine_recall@10': 0.7532870708546384, 'eval_dim_768_cosine_ndcg@10': 0.6051117587300292, 'eval_dim_768_cosine_mrr@10': 0.558346159866432, 'eval_dim_768_cosine_map@100': 0.5666914330015238, 'eval_runtime': 9.7577, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 3.0}
{'loss': 0.0054, 'grad_norm': 0.0862230584025383, 'learning_rate': 1e-06, 'epoch': 3.01}
{'loss': 0.0054, 'grad_norm': 0.0907568633556366, 'learning_rate': 1e-06, 'epoch': 3.06}
{'loss': 0.005, 'grad_norm': 0.0658370703458786, 'learning_rate': 1e-06, 'epoch': 3.1}
{'loss': 0.0051, 'grad_norm': 0.09132805466651917, 'learning_rate': 1e-06, 'epoch': 3.15}
{'loss': 0.0055, 'grad_norm': 0.11739523708820343, 'learning_rate': 1e-06, 'epoch': 3.19}
{'loss': 0.0052, 'grad_norm': 0.1008187085390091, 'learning_rate': 1e-06, 'epoch': 3.24}
{'loss': 0.0048, 'grad_norm': 0.09083278477191925, 'learning_rate': 1e-06, 'epoch': 3.29}
{'loss': 0.0054, 'grad_norm': 0.06488106399774551, 'learning_rate': 1e-06, 'epoch': 3.33}
{'loss': 0.0052, 'grad_norm': 0.06754542142152786, 'learning_rate': 1e-06, 'epoch': 3.38}
{'loss': 0.0054, 'grad_norm': 0.10282357782125473, 'learning_rate': 1e-06, 'epoch': 3.42}
{'loss': 0.0048, 'grad_norm': 0.09706638753414154, 'learning_rate': 1e-06, 'epoch': 3.47}
{'loss': 0.0052, 'grad_norm': 0.06455973535776138, 'learning_rate': 1e-06, 'epoch': 3.51}
{'loss': 0.005, 'grad_norm': 0.09953922033309937, 'learning_rate': 1e-06, 'epoch': 3.56}
{'loss': 0.0051, 'grad_norm': 0.09203096479177475, 'learning_rate': 1e-06, 'epoch': 3.61}
{'loss': 0.0051, 'grad_norm': 0.10991794615983963, 'learning_rate': 1e-06, 'epoch': 3.65}
{'loss': 0.005, 'grad_norm': 0.07542102038860321, 'learning_rate': 1e-06, 'epoch': 3.7}
{'loss': 0.005, 'grad_norm': 0.1061784029006958, 'learning_rate': 1e-06, 'epoch': 3.74}
{'loss': 0.005, 'grad_norm': 0.0754108726978302, 'learning_rate': 1e-06, 'epoch': 3.79}
{'loss': 0.005, 'grad_norm': 0.10237979888916016, 'learning_rate': 1e-06, 'epoch': 3.83}
{'loss': 0.005, 'grad_norm': 0.06219876557588577, 'learning_rate': 1e-06, 'epoch': 3.88}
{'loss': 0.0049, 'grad_norm': 0.07506392896175385, 'learning_rate': 1e-06, 'epoch': 3.93}
{'loss': 0.0049, 'grad_norm': 0.07133907079696655, 'learning_rate': 1e-06, 'epoch': 3.97}
{'eval_dim_768_cosine_accuracy@1': 0.4793644996347699, 'eval_dim_768_cosine_accuracy@3': 0.6342220598977356, 'eval_dim_768_cosine_accuracy@5': 0.6901022644265887, 'eval_dim_768_cosine_accuracy@10': 0.7671658144631117, 'eval_dim_768_cosine_precision@1': 0.4793644996347699, 'eval_dim_768_cosine_precision@3': 0.21140735329924518, 'eval_dim_768_cosine_precision@5': 0.13802045288531775, 'eval_dim_768_cosine_precision@10': 0.07671658144631117, 'eval_dim_768_cosine_recall@1': 0.4793644996347699, 'eval_dim_768_cosine_recall@3': 0.6342220598977356, 'eval_dim_768_cosine_recall@5': 0.6901022644265887, 'eval_dim_768_cosine_recall@10': 0.7671658144631117, 'eval_dim_768_cosine_ndcg@10': 0.6182371263964482, 'eval_dim_768_cosine_mrr@10': 0.5712116798265459, 'eval_dim_768_cosine_map@100': 0.5792654276803724, 'eval_runtime': 9.211, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 4.0}
{'loss': 0.005, 'grad_norm': 0.0923256129026413, 'learning_rate': 1e-06, 'epoch': 4.02}
{'loss': 0.0047, 'grad_norm': 0.06756818294525146, 'learning_rate': 1e-06, 'epoch': 4.06}
{'loss': 0.0045, 'grad_norm': 0.044601909816265106, 'learning_rate': 1e-06, 'epoch': 4.11}
{'loss': 0.0046, 'grad_norm': 0.070786252617836, 'learning_rate': 1e-06, 'epoch': 4.15}
{'loss': 0.0049, 'grad_norm': 0.0853794738650322, 'learning_rate': 1e-06, 'epoch': 4.2}
{'loss': 0.0047, 'grad_norm': 0.09730492532253265, 'learning_rate': 1e-06, 'epoch': 4.24}
{'loss': 0.0049, 'grad_norm': 0.07035885751247406, 'learning_rate': 1e-06, 'epoch': 4.29}
{'loss': 0.0046, 'grad_norm': 0.08240877091884613, 'learning_rate': 1e-06, 'epoch': 4.34}
{'loss': 0.0046, 'grad_norm': 0.0601179413497448, 'learning_rate': 1e-06, 'epoch': 4.38}
{'loss': 0.0043, 'grad_norm': 0.056998178362846375, 'learning_rate': 1e-06, 'epoch': 4.43}
{'loss': 0.0046, 'grad_norm': 0.08889283239841461, 'learning_rate': 1e-06, 'epoch': 4.47}
{'loss': 0.0048, 'grad_norm': 0.08427444845438004, 'learning_rate': 1e-06, 'epoch': 4.52}
{'loss': 0.0049, 'grad_norm': 0.07443933188915253, 'learning_rate': 1e-06, 'epoch': 4.56}
{'loss': 0.0046, 'grad_norm': 0.08963185548782349, 'learning_rate': 1e-06, 'epoch': 4.61}
{'loss': 0.0044, 'grad_norm': 0.07129499316215515, 'learning_rate': 1e-06, 'epoch': 4.66}
{'loss': 0.0046, 'grad_norm': 0.1544274091720581, 'learning_rate': 1e-06, 'epoch': 4.7}
{'loss': 0.0048, 'grad_norm': 0.13441981375217438, 'learning_rate': 1e-06, 'epoch': 4.75}
{'loss': 0.0044, 'grad_norm': 0.0656830295920372, 'learning_rate': 1e-06, 'epoch': 4.79}
{'loss': 0.0048, 'grad_norm': 0.11799734830856323, 'learning_rate': 1e-06, 'epoch': 4.84}
{'loss': 0.0049, 'grad_norm': 0.11785110086202621, 'learning_rate': 1e-06, 'epoch': 4.88}
{'loss': 0.0045, 'grad_norm': 0.08103448897600174, 'learning_rate': 1e-06, 'epoch': 4.93}
{'loss': 0.0046, 'grad_norm': 0.09983257204294205, 'learning_rate': 1e-06, 'epoch': 4.97}
{'eval_dim_768_cosine_accuracy@1': 0.49342585829072316, 'eval_dim_768_cosine_accuracy@3': 0.6409788166544923, 'eval_dim_768_cosine_accuracy@5': 0.695763330898466, 'eval_dim_768_cosine_accuracy@10': 0.7772096420745069, 'eval_dim_768_cosine_precision@1': 0.49342585829072316, 'eval_dim_768_cosine_precision@3': 0.21365960555149743, 'eval_dim_768_cosine_precision@5': 0.1391526661796932, 'eval_dim_768_cosine_precision@10': 0.07772096420745069, 'eval_dim_768_cosine_recall@1': 0.49342585829072316, 'eval_dim_768_cosine_recall@3': 0.6409788166544923, 'eval_dim_768_cosine_recall@5': 0.695763330898466, 'eval_dim_768_cosine_recall@10': 0.7772096420745069, 'eval_dim_768_cosine_ndcg@10': 0.6290663261668736, 'eval_dim_768_cosine_mrr@10': 0.5824424327802701, 'eval_dim_768_cosine_map@100': 0.5903768225996092, 'eval_runtime': 9.5076, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 5.0}
{'train_runtime': 2094.0391, 'train_samples_per_second': 209.179, 'train_steps_per_second': 5.232, 'train_loss': 0.007114894680648239, 'epoch': 5.0}
training_args.bin: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 5.75k/5.75k [00:00<00:00, 15.5kB/s]
events.out.tfevents.1749869299.sotatek-Z590-GAMING-X.199720.0: 100%|██████████████████████████████████████████████████████████████████████| 34.1k/34.1k [00:00<00:00, 84.3kB/s]
model.safetensors: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 540M/540M [01:01<00:00, 8.81MB/s]
Upload 3 LFS files: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [01:01<00:00, 20.59s/it]


Upload 3 LFS files:  33%|████████████████████████████████████████                                                                                | 1/3 [01:01<02:03, 61.78s/it]
{'dim_768_cosine_accuracy@1': 0.49287801314828344, 'dim_768_cosine_accuracy@3': 0.6404309715120526, 'dim_768_cosine_accuracy@5': 0.695763330898466, 'dim_768_cosine_accuracy@10': 0.7775748721694667, 'dim_768_cosine_precision@1': 0.49287801314828344, 'dim_768_cosine_precision@3': 0.21347699050401753, 'dim_768_cosine_precision@5': 0.1391526661796932, 'dim_768_cosine_precision@10': 0.07775748721694667, 'dim_768_cosine_recall@1': 0.49287801314828344, 'dim_768_cosine_recall@3': 0.6404309715120526, 'dim_768_cosine_recall@5': 0.695763330898466, 'dim_768_cosine_recall@10': 0.7775748721694667, 'dim_768_cosine_ndcg@10': 0.628836735981994, 'dim_768_cosine_mrr@10': 0.5820406072095257, 'dim_768_cosine_map@100': 0.5899468947759886}
